Node,Job Title
1,Employee
2,Vice President
3,NA
4,Director
5,Vice President
6,President
7,Vice President
8,Employee
9,NA
10,NA
11,Employee
12,NA
13,Vice President
14,Employee
15,Employee
16,NA
17,Manager
18,Employee
19,NA
20,Manager
21,Trader
22,Vice President
23,Employee
24,Vice President
25,Manager
26,NA
27,Employee
28,CEO
29,NA
30,NA
31,Trader
32,Vice President
33,Trader
34,Vice President
35,Vice President
36,NA
37,NA
38,Director Legal
39,Employee
40,Trader
41,Trader
42,Employee
43,Employee
44,Director
45,Employee
46,Employee
47,Vice President
48,Director
49,Employee
50,Director
51,NA
52,President
53,NA
54,Vice President
55,Director
56,Employee
57,Vice President
58,Employee
59,Vice President
60,Vice President
61,NA
62,NA
63,Employee
64,Employee
65,Manager
66,Managing Director
67,President
68,CEO
69,Manager
70,NA
71,Trader
72,Manager
73,Manager
74,Vice President
75,NA
76,NA
77,Trader
78,Vice President
79,Vice President
80,Manager
81,NA
82,Managing Director
83,CEO
84,Vice President
85,Director
86,Vice President
87,Employee
88,NA
89,Employee
90,Manager
91,Employee
92,Employee
93,Employee
94,Director
95,CEO
96,Director
97,Vice President
98,Trader
99,NA
100,NA
101,Employee
102,Director
103,NA
104,Employee
105,NA
106,NA
107,nA
108,President
109,NA
110,NA
111,NA
112,Managing Director
113,Managing Director
114,NA
115,Employee
116,NA
117,Manager
118,Employee
119,Employee
120,Director
121,NA
122,Manager
123,Employee
124,NA
125,Employee
126,Manager
127,In House Lawyer
128,Director
129,NA
130,Trader
131,NA
132,Employee
133,NA
134,Vice President
135,NA
136,NA
137,Vice President
138,NA
139,NA
140,Employee
141,Manager
142,NA
143,Employee
144,NA
145,Employee
146,Vice President
147,Vice President
148,Manager
149,Director
150,Director
151,NA
152,Vice President
153,Trader
154,Employee
155,Director
156,NA
157,NA
158,Vice President
159,Vice President
160,Vice President
161,Employee
162,President
163,Employee
164,Vice President
165,NA
166,NA
167,Employee
168,NA
169,NA
170,NA
171,Manager
172,Employee
173,Managing Director
174,Vice President
175,Employee
176,NA
177,Trader
178,Employee
179,Manager
180,NA
181,NA
182,CEO
183,Employee
184,NA